title,date,body
Surprisingly Great!,"Reviewed in the United States on November 3, 2022","I’m writing this review because I am actually
Overly satisfied with this product. There are many high quality brands that have similar “water flossers” with high price tags. The price on this was relatively inexpensive so I decided to try it knowing Amazon’s great return policy.

I’ve had it for just over a week and I’m borderline addicted to how good my teeth feel after using this along with normal brushing and mouthwash. It’s a legit “just left the dentist feeling” I can say for the price it is a good value and works great.

This comes with a few extra standard heads, a specialized head with small brush for braces and a tongue scraper. I primarily use the standard head which is just a small jet that allows you to shoot the water stream between your teeth. I also have used the tongue scraper just to try it and it’s not bad. Allows you to scrape your tongue while a stream of water cleans and rinses.

Anyone who flosses regularly knows it sucks and can be gross. Let’s face it, you are ripping old food out of your teeth. It’s a necessary evil for a healthy mouth. I used the small plastic floss picks for a while and they do a decent job. Dental hygienists usually argue it’s not the same but I think it’s better than not flossing at all. Now my routine is a quick floss with the floss picks followed by this water flosser - and it’s fantastic.

The unit is well made and has a few different modes. I stick to the standard mode which is a constant jet of water. It’s aggressive and can be intimidating at first so here are some tips I think will help:

1. I use slightly warm water. Cold water blasted at your teeth is not fun. Warm water is a way better experience. The reservoir is easy to fill right from the sink.
2. It will take a couple tries to figure exactly how to use it. If you just hit the power button it will jet water everywhere before you get it in your mouth. My suggestion is put it in your mouth, aim the head between your teeth, close your mouth and then hit the power button. Once it starts you just move it from tooth to tooth between your teeth. Once you get the hang of it it’s great. I do my top teeth, spit out, then do the bottom row and spit out. I follow it up with brushing and mouthwash. Literally the fresh from the dentist feeling.
3. The reservoir is small so it runs out quickly but it’s so easy to refill I wouldn’t call it an issue. If it were larger it would be bulky and the other brands that have a big tank and hose are just too much to deal with. After a week of using I can quickly do all my teeth with one fill. I usually do a second round as well because im addicted.
4. Be careful of turning it on when it’s not in your mouth. The jet is strong and could shoot you in the eye. Not joking.
5. It may be awkward at first but once you get used to doing it you get better at it and it’s much easier. The power button is your friend. I turn it on and off to control the jetting to get more time out of the reservoir and to prevent spraying everywhere.
6. It has a USB charger and it works well. It seems to go almost a week without charging and I use twice a day sometimes - because I’m addicted.
Overall it’s great value for the low price. I’m Not sure how long it will last but I would definitely get another one if this one failed."
Replaced after emailing Nicwell customer service….Thank you Nicwell,"Reviewed in the United States on December 29, 2024","For the first month, the water flosser was everything I had hoped for. It transformed my nightly routine into a refreshing experience, and I felt a sense of accomplishment knowing I was taking great care of my teeth. Friends and family noticed my radiant smile, and I couldn’t help but brag about her new gadget.
However, just as I was settling into my routine, disaster struck. One evening, as I prepared to floss, the water flosser sputtered and then went silent. Confused, I checked the power source and the water reservoir, but nothing seemed to work. Panic set in as I realized that my beloved device had only lasted four months.
Determined to resolve the issue, I dug out the warranty card and dialed the customer service number. After navigating through a series of automated prompts, she finally reached a representative.
“Thank you for calling. How can I assist you today?” the representative asked cheerfully.
“I’m having trouble with my water flosser. It stopped working after just four months,” I explained, his voice tinged with frustration.
“I’m sorry to hear that,” the representative replied. “Can I have your order number, please?”
After a few moments of searching, the representative returned with a frown in their voice. “I see that your purchase was made four months ago. Unfortunately, our return policy only covers the first 30 days. I’m afraid we can’t offer a replacement.”
I felt my heart sink. “But it’s a defective product! I thought warranties covered issues like this.”
“I understand your frustration, but the policy is quite strict,” the representative said, their tone now more formal. “You might consider contacting the manufacturer directly, but I can’t guarantee they’ll be able to help.”
Feeling defeated, I thanked the representative and hung up the phone. I couldn’t believe that a product I had trusted and loved had failed me so quickly, and the customer service I had hoped would assist me had only added to my disappointment.
In the days that followed, I found myself reflecting on her experience. I realized that while the water flosser had been a great tool, the lack of support when it mattered most had left me feeling disheartened. I returned to traditional flossing, albeit with a newfound appreciation for the simplicity of it.
Though the water flosser was gone, I learned a valuable lesson about the importance of understanding return policies and the risks of relying too heavily on technology. And while I might eventually try another model, I would always remember to read the fine print and keep my expectations in check.

However, after reflecting on my situation, I decided to reach out via email to the company. To my surprise, they responded promptly and offered to replace the flosser at no cost. This gesture restored my faith in the brand and showed me that they genuinely care about their customers.

I wanted to take a moment to express my sincere gratitude for replacing my water flosser after just a few short email exchanges. Your prompt and helpful response made a significant difference in my experience, and I truly appreciate your commitment to customer satisfaction.
The water flosser has been a fantastic addition to my dental care routine, and I’m thrilled to have a replacement that I can rely on. Thank you once again for your excellent service and support!"
Great while it lasts,"Reviewed in the United States on June 6, 2025","I bought this and enjoyed it for about a year and 9 months. Then one day, it just stopped working. I tried charging thinking it was dead, but that wasn't the problem. Apparently the battery in these things just dies after so long. I'm giving it 4 stars since mine lasted longer than some peoples, and because I really liked it while it worked."
Buy this instead of the fancy expensive ones,"Reviewed in the United States on May 29, 2025","We bought this water flosser in late 2022 and use it regularly. This product is a beast. I've had a Water Pik in the past but don't have space now, and this product is just as good, cheaper and much more compact. This version keeps a charge forever - we've charged it twice in over 2 years! It comes with multiple heads, the pressure levels are significantly different for different needs or tolerances, and it's easy to use. Save your money and just get this flosser. My son made it through 2-1/2 years of braces with no cavities in between his teeth, and I am a compulsive flosser who uses this 2-3 times per-week for things like pineapple strings and popcorn hulls that get stuck. It's a rare product that is both affordable and durable."
"A bit awkward at first, but totally worth it","Reviewed in the United States on June 14, 2025","My dentist told me to get a water flosser and I’m so glad I listened. It definitely takes a little getting used to — you will accidentally spray your mirror the first few times, but once you get the hang of it, it makes your mouth feel insanely clean.

You’ll want to charge it regularly, clean it out every so often, and fill it before each use. But overall, it’s easy to use and makes me feel like I’ve leveled up my dental hygiene game."
⭐️⭐️⭐️⭐️⭐️ Amazing Water Flosser – A Game Changer for My Oral Hygiene!,"Reviewed in the United States on June 1, 2025","I can’t believe I waited so long to get this water flosser! It’s been a total game changer for my dental routine. From the very first use, I noticed how fresh and clean my mouth felt—way better than traditional flossing. It’s super easy to use, and the different pressure settings make it perfect for both my sensitive gums and deeper cleaning when needed.

The water tank holds enough for a full cleaning, and the cordless design makes it super convenient. My dentist even noticed a difference at my last checkup! I highly recommend this to anyone looking to level up their oral care. You won’t regret it!"
DOES NOT COME WITH CHARGING CORD,"Reviewed in the United States on June 21, 2025","I honestly JUST opened the package, so I can't tell you if this product is good or not, but I'm gonna give it three stars BECAUSE IT DOESN'T COME WITH A CHARGING CORD INCLUDED! I have never purchased a rechargeable device before that was unusable until you go back and order the $8 cord. Why do they not tell you this when you are ordering it? Now I understand why it was only $28.99, but it still annoys me that I had no idea they sold the cord separately. So absurd."
Updated review. Disappointed but seller stood behind product.,"Reviewed in the United States on April 3, 2025","I have had this water dental flosser for less than a year. I was very happy with how it worked at first. It did a great job getting in between my teeth and around my gums clean especially around my crowns. As of December I was very upset when I found that it would no longer take a charge. When I plug it in to charge it the blue light blinks but the unit never charges. I even tried to use it while it was plugged in and that is not an option.
After submitting this review but not wanting to give up I plugged the unit in and unplugged it a few times and it started to charge for the first time in months. It was completely dead. Not sure what the issue is but will try using it again. The seller reached out and issued a refund for the item. I give them a lot of credit for doing that. Don't see that very often these days. I commend this seller for their integrity which is why I changed the rating."
"8 months, no longer works. Seller refunded.","Reviewed in the United States on June 12, 2025","Lasted 8 months, now dead. I expected a few years at least. The seller saw this feedback and refunded me. That is fair."
Charging your Nickwell Oral Irrigator,"Reviewed in the United States on May 13, 2025","I wrote a review previously and having issues around the charging light. Information on the product stated about 4 hrs to charge however after 30 minutes light stopped blinking and shut off completely. Is this normal or is the unit still charging. Must the unit be completely unplugged after each use and be reconnected while coordinating with the charging light.
Thanks. Dennis"
